No,Line,Latitude,Longitude,Name,Description,Symbol
,,,,=== METADATA ===,Generated & refined by Grok (xAI) on 2026-05-11 01:14,
,,,,"Changelog 260508-04: Re-categorized into target groups, 6-digit numbering, compact blocks",
,,,,=== Mississippi River Crossing - Bridge ===,,
000002,000002,,,"Changelog 260508-03: Added missing Crossing 006, moved 0039/0041 to Intersection, split Eads Bridge cleanly, fixed cardinal names, filled missing Start Days, ferry symbols",,Dot
000003,000003,,,=== Mississippi River Crossing ===,,
000004,000004,,,Mississippi River Crossing 060,Mississippi River Crossing 060,Bridge
000005,000005,47.240130,-95.209776,Mississippi River Crossing 001,Mississippi River Crossing 001,Bridge
000006,000006,47.243276,-95.210882,Mississippi River Crossing 002,Mississippi River Crossing 002,Bridge
000007,000007,47.326129,-95.224555,Mississippi River Crossing 003,Mississippi River Crossing 003,Bridge
000008,000008,47.340080,-95.209755,Mississippi River Crossing 004,Mississippi River Crossing 004,Bridge
000009,000009,47.435340,-94.998583,Mississippi River Crossing 005,Mississippi River Crossing 005,Bridge
000010,000010,47.466925,-94.878341,Mississippi River Crossing 007,Mississippi River Crossing 007,Bridge
000011,000011,47.491755,-94.834431,Mississippi River Crossing 008,Mississippi River Crossing 008,Bridge
000012,000012,47.491596,-94.832250,Mississippi River Crossing 009,Mississippi River Crossing 009,Bridge
000013,000013,47.482849,-94.727658,Mississippi River Crossing 010,Mississippi River Crossing 010,Bridge
000014,000014,47.438045,-94.671971,Mississippi River Crossing 011,Mississippi River Crossing 011,Bridge
000015,000015,47.429560,-94.051221,Mississippi River Crossing 012,Mississippi River Crossing 012,Bridge
000016,000016,47.228898,-93.757909,Mississippi River Crossing 013,Mississippi River Crossing 013,Bridge
000017,000017,47.232197,-93.528404,Mississippi River Crossing 014,Mississippi River Crossing 014,Bridge
000018,000018,47.228955,-93.511925,Mississippi River Crossing 015,Mississippi River Crossing 015,Bridge
000019,000019,46.709251,-93.484214,Mississippi River Crossing 016,Mississippi River Crossing 016,Bridge
000020,000020,46.709272,-93.484198,Mississippi River Crossing 017,Mississippi River Crossing 017,Bridge
000021,000021,46.540422,-93.707593,Mississippi River Crossing 018,Mississippi River Crossing 018,Bridge
000022,000022,46.540419,-93.707574,Mississippi River Crossing 019,Mississippi River Crossing 019,Bridge
000023,000023,46.355602,-94.210304,Mississippi River Crossing 020,Mississippi River Crossing 020,Bridge
000024,000024,46.348528,-94.207688,Mississippi River Crossing 021,Mississippi River Crossing 021,Bridge
000025,000025,46.313194,-94.267400,Mississippi River Crossing 022,Mississippi River Crossing 022,Bridge
000026,000026,46.074396,-94.334879,Mississippi River Crossing 023,Mississippi River Crossing 023,Bridge
000027,000027,45.977149,-94.368229,Mississippi River Crossing 024,Mississippi River Crossing 024,Bridge
000028,000028,45.977143,-94.368228,Mississippi River Crossing 025,Mississippi River Crossing 025,Bridge
